TransactionId,AccountId,TransactionDate,TransactionAmount,TransactionType,ModeOfTransactionCode,transaction_hour,day_of_week,ClientId,AccountOpenDate,Balance,MinimumBalance,avg_account_txn_amount,max_account_txn_amount,account_tenure_days,Gender,DateofBirth,Occupation,RiskCategoryId,IsPEP,is_fraud
36569852,88,00:00.0,300,1,63,0,3,753963,00:00.0,95323.2,5000,300,300,981,NULL,NULL,NULL,8,NULL,0
36568746,135,00:00.0,22,1,63,0,3,754633,00:00.0,6535.94,5000,22,22,937,NULL,NULL,NULL,8,NULL,0
36567049,202,00:00.0,350,1,63,0,3,713931,00:00.0,44232.11,5000,350,350,4122,NULL,NULL,NULL,8,NULL,0
36566352,233,00:00.0,3700,1,63,0,3,754981,00:00.0,10482.35,5000,3700,3700,913,NULL,NULL,NULL,20,NULL,0
36567449,269,00:00.0,1000,0,63,0,3,755308,00:00.0,54230.03,5000,1000,1000,889,NULL,NULL,NULL,8,NULL,0
36566230,293,00:00.0,160,0,63,0,3,720987,00:00.0,11888.21,5000,12665.35,95016,3695,NULL,NULL,NULL,8,NULL,0
36566957,293,00:00.0,20,0,63,0,3,720987,00:00.0,11888.21,5000,12665.35,95016,3695,NULL,NULL,NULL,8,NULL,0
36567392,293,00:00.0,1030,0,63,0,3,720987,00:00.0,11888.21,5000,12665.35,95016,3695,NULL,NULL,NULL,8,NULL,0
36567570,293,00:00.0,3450,0,63,0,3,720987,00:00.0,11888.21,5000,12665.35,95016,3695,NULL,NULL,NULL,8,NULL,0
36567687,293,00:00.0,455,0,63,0,3,720987,00:00.0,11888.21,5000,12665.35,95016,3695,NULL,NULL,NULL,8,NULL,0
36568668,293,00:00.0,1180,0,63,0,3,720987,00:00.0,11888.21,5000,12665.35,95016,3695,NULL,NULL,NULL,8,NULL,0
36566274,293,00:00.0,95016,1,63,0,3,720987,00:00.0,11888.21,5000,12665.35,95016,3695,NULL,NULL,NULL,8,NULL,0
36566275,293,00:00.0,11.8,1,63,0,3,720987,00:00.0,11888.21,5000,12665.35,95016,3695,NULL,NULL,NULL,8,NULL,0
36569477,318,00:00.0,4500,0,63,0,3,733566,00:00.0,13130.04,5000,4500,4500,2884,NULL,NULL,NULL,3,NULL,0
36567362,411,00:00.0,12,0,63,0,3,737678,00:00.0,13565.62,5000,72.2857,178,2550,NULL,NULL,NULL,8,NULL,0
36567426,411,00:00.0,178,0,63,0,3,737678,00:00.0,13565.62,5000,72.2857,178,2550,NULL,NULL,NULL,8,NULL,0
36567877,411,00:00.0,40,0,63,0,3,737678,00:00.0,13565.62,5000,72.2857,178,2550,NULL,NULL,NULL,8,NULL,0
36568439,411,00:00.0,28,0,63,0,3,737678,00:00.0,13565.62,5000,72.2857,178,2550,NULL,NULL,NULL,8,NULL,0
36569487,411,00:00.0,36,0,63,0,3,737678,00:00.0,13565.62,5000,72.2857,178,2550,NULL,NULL,NULL,8,NULL,0
36569620,411,00:00.0,140,0,63,0,3,737678,00:00.0,13565.62,5000,72.2857,178,2550,NULL,NULL,NULL,8,NULL,0
36569937,411,00:00.0,72,0,63,0,3,737678,00:00.0,13565.62,5000,72.2857,178,2550,NULL,NULL,NULL,8,NULL,0
36568736,430,00:00.0,3098.78,0,63,0,3,709747,00:00.0,8262.3,5000,3098.78,3098.78,4652,NULL,NULL,NULL,8,NULL,0
36570102,441,00:00.0,550,0,63,0,3,734032,00:00.0,46551.31,5000,292,550,2839,NULL,NULL,NULL,8,NULL,0
36566839,441,00:00.0,34,1,63,0,3,734032,00:00.0,46551.31,5000,292,550,2839,NULL,NULL,NULL,8,NULL,0
36570786,481,00:00.0,5050,0,63,0,3,599351,00:00.0,189154.3,5000,5050,5050,4605,NULL,NULL,NULL,8,NULL,0
36568671,656,00:00.0,25000,1,63,0,3,738547,00:00.0,8385.43,5000,12502.95,25000,2479,NULL,NULL,NULL,3,NULL,0
36568672,656,00:00.0,5.9,1,63,0,3,738547,00:00.0,8385.43,5000,12502.95,25000,2479,NULL,NULL,NULL,3,NULL,0
36566194,784,00:00.0,5000,0,63,0,3,719465,00:00.0,697196.39,5000,3000,5000,3812,NULL,NULL,NULL,8,NULL,0
36570199,784,00:00.0,1000,1,63,0,3,719465,00:00.0,697196.39,5000,3000,5000,3812,NULL,NULL,NULL,8,NULL,0
36570604,801,00:00.0,1360,0,63,0,3,555798,00:00.0,66841.96,5000,1360,1360,4592,NULL,NULL,NULL,3,NULL,0
36567807,845,00:00.0,30,0,63,0,3,715032,00:00.0,6210.14,5000,159.25,360,4065,NULL,NULL,NULL,8,NULL,0
36569197,845,00:00.0,360,0,63,0,3,715032,00:00.0,6210.14,5000,159.25,360,4065,NULL,NULL,NULL,8,NULL,0
36569268,845,00:00.0,177,0,63,0,3,715032,00:00.0,6210.14,5000,159.25,360,4065,NULL,NULL,NULL,8,NULL,0
36569427,845,00:00.0,70,0,63,0,3,715032,00:00.0,6210.14,5000,159.25,360,4065,NULL,NULL,NULL,8,NULL,0
36568174,1004,00:00.0,5000,1,63,0,3,724343,00:00.0,5279.07,5000,5000,5000,3463,NULL,NULL,NULL,3,NULL,0
36570020,1080,00:00.0,19,1,63,0,3,742078,00:00.0,7054.7,5000,19,19,2160,NULL,NULL,NULL,8,NULL,0
36566407,1092,00:00.0,150,1,63,0,3,742142,00:00.0,27045.02,5000,2594.4142,16355,2133,NULL,NULL,NULL,8,NULL,0
36566416,1092,00:00.0,50,1,63,0,3,742142,00:00.0,27045.02,5000,2594.4142,16355,2133,NULL,NULL,NULL,8,NULL,0
36566665,1092,00:00.0,550,1,63,0,3,742142,00:00.0,27045.02,5000,2594.4142,16355,2133,NULL,NULL,NULL,8,NULL,0
36569514,1092,00:00.0,1000,1,63,0,3,742142,00:00.0,27045.02,5000,2594.4142,16355,2133,NULL,NULL,NULL,8,NULL,0
36570392,1092,00:00.0,16355,1,63,0,3,742142,00:00.0,27045.02,5000,2594.4142,16355,2133,NULL,NULL,NULL,8,NULL,0
36570393,1092,00:00.0,5.9,1,63,0,3,742142,00:00.0,27045.02,5000,2594.4142,16355,2133,NULL,NULL,NULL,8,NULL,0
36571184,1092,00:00.0,50,1,63,0,3,742142,00:00.0,27045.02,5000,2594.4142,16355,2133,NULL,NULL,NULL,8,NULL,0
36571153,1148,00:00.0,23000,0,63,0,3,740905,00:00.0,28025.76,5000,23000,23000,2265,NULL,00:00.0,NULL,8,NULL,0
36566927,1215,00:00.0,250,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36567657,1215,00:00.0,155,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36567966,1215,00:00.0,2118,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36567993,1215,00:00.0,214,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36568186,1215,00:00.0,30,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36568263,1215,00:00.0,190,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36568460,1215,00:00.0,24,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36568567,1215,00:00.0,106,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36568725,1215,00:00.0,80,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36568797,1215,00:00.0,1000,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36569249,1215,00:00.0,1330,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36569409,1215,00:00.0,214,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36569600,1215,00:00.0,886,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36569701,1215,00:00.0,188,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
36569815,1215,00:00.0,1070,0,63,0,3,742306,00:00.0,5106.58,5000,1053.8235,10000,2091,NULL,NULL,NULL,8,NULL,0
